1.06	3.6242	0.217333	0.383538	0.0364405
1.07	3.65256	0.220925	0.390114	0.0374033
1.08	3.68082	0.224538	0.396735	0.0383816
1.09	3.709	0.228172	0.4034	0.0393756
1.1	3.73708	0.231826	0.41011	0.0403854
1.11	3.76508	0.235501	0.416865	0.0414109
1.12	3.79299	0.239195	0.423663	0.0424524
1.13	3.82081	0.242909	0.430506	0.0435099
1.14	3.84854	0.246643	0.437392	0.0445834
1.15	3.87618	0.250396	0.444321	0.0456731
1.16	3.90373	0.254168	0.451294	0.046779
1.17	3.93119	0.25796	0.45831	0.0479012
1.18	3.95857	0.26177	0.465368	0.0490397
1.19	3.98586	0.265599	0.472468	0.0501947
1.2	4.01306	0.269446	0.479611	0.0513663
1.21	4.04017	0.273312	0.486796	0.0525544
1.22	4.0672	0.277195	0.494023	0.0537592
1.23	4.09414	0.281097	0.501291	0.0549808
1.24	4.121	0.285016	0.5086	0.0562191
1.25	4.14777	0.288953	0.515951	0.0574744
1.26	4.17445	0.292907	0.523342	0.0587465
1.27	4.20105	0.296878	0.530774	0.0600357
1.28	4.22757	0.300866	0.538246	0.061342
1.29	4.254	0.304871	0.545758	0.0626654
1.3	4.28034	0.308893	0.553311	0.0640061
1.31	4.3066	0.31293	0.560903	0.065364
1.32	4.33278	0.316985	0.568534	0.0667393
1.33	4.35887	0.321055	0.576205	0.068132
1.34	4.38488	0.325141	0.583915	0.0695422
1.35	4.41081	0.329243	0.591664	0.0709698
1.36	4.43665	0.33336	0.599451	0.0724151
1.37	4.46242	0.337493	0.607277	0.0738781
1.38	4.48809	0.341641	0.615141	0.0753587
1.39	4.51369	0.345804	0.623042	0.0768572
1.4	4.53921	0.349982	0.630982	0.0783734
1.41	4.56464	0.354174	0.638959	0.0799076
1.42	4.58999	0.358381	0.646974	0.0814597
1.43	4.61526	0.362602	0.655026	0.0830298
1.44	4.64046	0.366837	0.663114	0.0846179
1.45	4.66557	0.371087	0.67124	0.0862242
1.46	4.6906	0.37535	0.679402	0.0878486
1.47	4.71555	0.379626	0.6876	0.0894912
1.48	4.74042	0.383917	0.695834	0.0911522
1.49	4.76521	0.38822	0.704104	0.0928314
1.5	4.78992	0.392537	0.71241	0.094529
1.51	4.81455	0.396866	0.720752	0.096245
1.52	4.83911	0.401208	0.729128	0.0979795
1.53	4.86358	0.405563	0.73754	0.0997325
1.54	4.88798	0.409931	0.745987	0.101504
1.55	4.9123	0.414311	0.754469	0.103294
1.56	4.93654	0.418702	0.762985	0.105103
1.57	4.96071	0.423106	0.771535	0.106931
1.58	4.98479	0.427522	0.780119	0.108777
1.59	5.0088	0.431949	0.788738	0.110642
1.6	5.03274	0.436388	0.79739	0.112526
1.61	5.05659	0.440838	0.806076	0.114429
1.62	5.08037	0.445299	0.814795	0.116351
1.63	5.10408	0.449772	0.823547	0.118291
1.64	5.12771	0.454255	0.832333	0.120251
1.65	5.15126	0.458749	0.841151	0.12223
1.66	5.17474	0.463253	0.850002	0.124228
1.67	5.19814	0.467768	0.858885	0.126245
1.68	5.22147	0.472293	0.867801	0.128281
1.69	5.24473	0.476829	0.876748	0.130337
1.7	5.26791	0.481374	0.885728	0.132411
1.71	5.29101	0.485929	0.894739	0.134505
1.72	5.31404	0.490493	0.903782	0.136618
1.73	5.337	0.495067	0.912856	0.138751
1.74	5.35989	0.49965	0.921961	0.140903
1.75	5.3827	0.504243	0.931098	0.143074
1.76	5.40544	0.508844	0.940265	0.145265
1.77	5.4281	0.513455	0.949463	0.147476
1.78	5.4507	0.518074	0.958691	0.149705
1.79	5.47322	0.522702	0.96795	0.151955
1.8	5.49567	0.527338	0.977239	0.154224
1.81	5.51805	0.531982	0.986557	0.156513
1.82	5.54035	0.536635	0.995906	0.158821
1.83	5.56259	0.541295	1.00528	0.161149
1.84	5.58475	0.545964	1.01469	0.163497
1.85	5.60685	0.55064	1.02413	0.165864
1.86	5.62887	0.555324	1.0336	0.168251
1.87	5.65082	0.560015	1.04309	0.170658
1.88	5.6727	0.564713	1.05261	0.173085
1.89	5.69452	0.569419	1.06217	0.175532
1.9	5.71626	0.574131	1.07175	0.177998
1.91	5.73793	0.578851	1.08136	0.180485
1.92	5.75954	0.583577	1.091	0.182991
1.93	5.78107	0.58831	1.10066	0.185517
1.94	5.80254	0.593049	1.11035	0.188063
1.95	5.82394	0.597794	1.12008	0.19063
1.96	5.84526	0.602546	1.12982	0.193216
1.97	5.86653	0.607304	1.1396	0.195822
1.98	5.88772	0.612067	1.1494	0.198449
1.99	5.90884	0.616837	1.15923	0.201095
2	5.9299	0.621611	1.16909	0.203761
2.01	5.95089	0.626392	1.17897	0.206448
2.02	5.97182	0.631178	1.18889	0.209155
2.03	5.99267	0.635969	1.19882	0.211882
2.04	6.01346	0.640765	1.20879	0.214629
2.05	6.03419	0.645566	1.21878	0.217396
2.06	6.05485	0.650372	1.22879	0.220184
2.07	6.07544	0.655182	1.23883	0.222992
2.08	6.09596	0.659997	1.2489	0.22582
2.09	6.11642	0.664817	1.25899	0.228668
2.1	6.13682	0.669641	1.26911	0.231537
2.11	6.15715	0.674469	1.27925	0.234425
2.12	6.17741	0.679301	1.28942	0.237335
2.13	6.19761	0.684137	1.29962	0.240264
2.14	6.21775	0.688977	1.30983	0.243214
2.15	6.23782	0.69382	1.32008	0.246184
2.16	6.25783	0.698667	1.33035	0.249175
2.17	6.27777	0.703517	1.34064	0.252186
2.18	6.29765	0.708371	1.35095	0.255217
2.19	6.31746	0.713228	1.36129	0.258269
2.2	6.33722	0.718088	1.37166	0.261341
2.21	6.35691	0.722951	1.38205	0.264433
2.22	6.37653	0.727816	1.39246	0.267546
2.23	6.3961	0.732684	1.4029	0.27068
2.24	6.4156	0.737555	1.41335	0.273834
2.25	6.43504	0.742428	1.42384	0.277008
2.26	6.45441	0.747304	1.43434	0.280203
2.27	6.47373	0.752181	1.44487	0.283418
2.28	6.49298	0.757061	1.45542	0.286654
2.29	6.51217	0.761943	1.466	0.28991
2.3	6.5313	0.766826	1.4766	0.293187
2.31	6.55037	0.771712	1.48722	0.296484
2.32	6.56938	0.776598	1.49786	0.299802
2.33	6.58833	0.781487	1.50852	0.30314
2.34	6.60722	0.786376	1.51921	0.306499
2.35	6.62604	0.791267	1.52992	0.309878
2.36	6.64481	0.796159	1.54065	0.313278
2.37	6.66352	0.801052	1.5514	0.316699
2.38	6.68216	0.805946	1.56218	0.32014
2.39	6.70075	0.81084	1.57297	0.323601
2.4	6.71928	0.815736	1.58379	0.327083
2.41	6.73775	0.820631	1.59463	0.330586
2.42	6.75616	0.825528	1.60549	0.334109
2.43	6.77451	0.830424	1.61637	0.337652
2.44	6.7928	0.835321	1.62727	0.341217
2.45	6.81103	0.840218	1.6382	0.344801
2.46	6.82921	0.845115	1.64914	0.348407
2.47	6.84733	0.850011	1.6601	0.352033
2.48	6.86539	0.854908	1.67109	0.355679
2.49	6.88339	0.859804	1.68209	0.359346
2.5	6.90133	0.864699	1.69312	0.363034
